location,total_sqft,bath,price,BHK,price_per_sqft,bhk_per_sqft
other,1020.0,6.0,370.0,6,36274.509803921566,170.0
HSR Layout,600.0,9.0,200.0,8,33333.333333333336,75.0
Murugeshpalya,1407.0,4.0,150.0,6,10660.980810234541,234.5
Devarachikkanahalli,1350.0,7.0,85.0,8,6296.2962962962965,168.75
other,500.0,3.0,100.0,3,20000.0,166.66666666666666
Kaval Byrasandra,460.0,1.0,22.0,2,4782.608695652174,230.0
Rajaji Nagar,710.0,6.0,160.0,6,22535.211267605635,118.33333333333333
Hennur Road,276.0,3.0,23.0,2,8333.333333333334,138.0
Vishwapriya Layout,950.0,7.0,115.0,7,12105.263157894737,135.71428571428572
other,1034.0,5.0,185.0,6,17891.682785299807,172.33333333333334
other,1300.0,6.0,99.0,6,7615.384615384615,216.66666666666666
Kumaraswami Layout,600.0,3.0,85.0,5,14166.666666666666,120.0
other,1800.0,7.0,250.0,7,13888.888888888889,257.14285714285717
other,1200.0,5.0,170.0,5,14166.666666666666,240.0
other,1450.0,6.0,250.0,6,17241.379310344826,241.66666666666666
Giri Nagar,880.0,3.0,140.0,3,15909.09090909091,293.3333333333333
other,1200.0,5.0,180.0,5,15000.0,240.0
other,11.0,3.0,74.0,3,672727.2727272727,3.6666666666666665
other,700.0,3.0,120.0,6,17142.85714285714,116.66666666666667
Sultan Palaya,550.0,1.0,62.0,2,11272.727272727272,275.0
Mahalakshmi Layout,1200.0,7.0,250.0,6,20833.333333333332,200.0
Chandapura,1533.0,5.0,85.0,6,5544.683626875408,255.5
7th Phase JP Nagar,1200.0,8.0,250.0,8,20833.333333333332,150.0
other,1150.0,4.0,260.0,4,22608.695652173912,287.5
Basavangudi,1125.0,4.0,180.0,4,16000.0,281.25
Kenchenahalli,500.0,3.0,65.0,5,13000.0,100.0
other,1200.0,5.0,190.0,5,15833.333333333334,240.0
Banjara Layout,600.0,3.0,58.0,3,9666.666666666666,200.0
8th Phase JP Nagar,660.0,4.0,90.0,4,13636.363636363636,165.0
Hosa Road,1300.0,6.0,145.0,6,11153.846153846154,216.66666666666666
Margondanahalli,940.0,4.0,150.0,5,15957.446808510638,188.0
Hormavu,1200.0,7.0,150.0,7,12500.0,171.42857142857142
other,1200.0,5.0,100.0,5,8333.333333333334,240.0
other,1210.0,4.0,160.0,5,13223.140495867769,242.0
other,1000.0,4.0,160.0,5,16000.0,200.0
other,600.0,9.0,190.0,9,31666.666666666668,66.66666666666667
other,900.0,7.0,76.0,6,8444.444444444445,150.0
other,600.0,4.0,65.0,6,10833.333333333334,100.0
other,1875.0,2.0,300.0,7,16000.0,267.85714285714283
HBR Layout,675.0,3.0,59.0,4,8740.74074074074,168.75
other,460.0,1.0,15.0,2,3260.8695652173915,230.0
TC Palaya,1000.0,6.0,69.0,6,6900.0,166.66666666666666
Vijayanagar,600.0,4.0,72.0,8,12000.0,75.0
Raja Rajeshwari Nagar,1200.0,4.0,125.0,6,10416.666666666666,200.0
other,900.0,3.0,80.0,5,8888.888888888889,180.0
5th Phase JP Nagar,1260.0,11.0,290.0,9,23015.873015873014,140.0
Kammanahalli,1080.0,3.0,155.0,4,14351.851851851852,270.0
Marathahalli,700.0,4.0,72.0,4,10285.714285714286,175.0
Kothannur,600.0,4.0,95.0,3,15833.333333333334,200.0
Uttarahalli,1200.0,4.0,225.0,6,18750.0,200.0
Rajaji Nagar,315.0,4.0,90.0,4,28571.428571428572,78.75
other,600.0,3.0,65.0,4,10833.333333333334,150.0
other,15.0,1.0,30.0,1,200000.0,15.0
1st Phase JP Nagar,1200.0,7.0,240.0,8,20000.0,150.0
Nagasandra,1500.0,5.0,130.0,6,8666.666666666666,250.0
other,900.0,10.0,170.0,9,18888.88888888889,100.0
other,915.0,4.0,54.9,4,6000.0,228.75
Yeshwanthpur,850.0,4.0,90.0,5,10588.235294117647,170.0
5th Phase JP Nagar,812.0,6.0,165.0,9,20320.197044334975,90.22222222222223
Hoodi,1120.0,8.0,145.0,8,12946.42857142857,140.0
Kengeri,1200.0,6.0,140.0,7,11666.666666666666,171.42857142857142
other,24.0,2.0,150.0,5,625000.0,4.8
R.T. Nagar,1200.0,7.0,165.0,6,13750.0,200.0
1st Block Jayanagar,1200.0,6.0,125.0,6,10416.666666666666,200.0
Kumaraswami Layout,800.0,7.0,105.0,7,13125.0,114.28571428571429
Ulsoor,2300.0,8.0,210.0,9,9130.434782608696,255.55555555555554
other,600.0,5.0,60.0,4,10000.0,150.0
Electronic City,550.0,1.0,16.0,2,2909.090909090909,275.0
5th Block Hbr Layout,1200.0,6.0,250.0,6,20833.333333333332,200.0
Malleshwaram,840.0,7.0,195.0,8,23214.285714285714,105.0
other,1200.0,6.0,180.0,6,15000.0,200.0
Marathahalli,1350.0,4.0,135.0,5,10000.0,270.0
other,1200.0,7.0,235.0,8,19583.333333333332,150.0
Kengeri Satellite Town,850.0,3.0,95.0,3,11176.470588235294,283.3333333333333
other,750.0,2.0,75.0,3,10000.0,250.0
Sector 7 HSR Layout,900.0,4.0,90.0,5,10000.0,180.0
Bannerghatta,810.0,4.0,50.0,4,6172.83950617284,202.5
Malleshwaram,750.0,8.0,150.0,9,20000.0,83.33333333333333
9th Phase JP Nagar,1200.0,6.0,195.0,7,16250.0,171.42857142857142
other,600.0,3.0,75.0,3,12500.0,200.0
Uttarahalli,400.0,5.0,200.0,5,50000.0,80.0
Kogilu,925.0,7.0,88.0,7,9513.513513513513,132.14285714285714
JP Nagar,2550.0,9.0,360.0,9,14117.64705882353,283.3333333333333
Gubbalala,600.0,3.0,75.0,3,12500.0,200.0
Kereguddadahalli,600.0,4.0,60.0,6,10000.0,100.0
other,817.0,2.0,120.0,4,14687.882496940025,204.25
other,1200.0,4.0,135.0,6,11250.0,200.0
Kadugodi,1100.0,5.0,135.0,5,12272.727272727272,220.0
other,8000.0,27.0,230.0,27,2875.0,296.2962962962963
other,750.0,10.0,90.0,10,12000.0,75.0
other,1320.0,6.0,200.0,8,15151.515151515152,165.0
other,1200.0,11.0,170.0,11,14166.666666666666,109.0909090909091
other,727.0,6.0,66.0,6,9078.40440165062,121.16666666666667
Yelahanka New Town,550.0,2.0,26.0,2,4727.272727272727,275.0
other,1660.0,10.0,475.0,10,28614.4578313253,166.0
other,712.0,2.0,67.5,4,9480.337078651686,178.0
2nd Stage Nagarbhavi,1200.0,4.0,285.0,5,23750.0,240.0
Shivaji Nagar,1400.0,6.0,200.0,7,14285.714285714286,200.0
Hosa Road,675.0,3.0,72.5,3,10740.74074074074,225.0
Banashankari,600.0,3.0,100.0,3,16666.666666666668,200.0
other,1350.0,4.0,130.0,5,9629.62962962963,270.0
other,600.0,2.0,60.0,3,10000.0,200.0
Yeshwanthpur,682.0,2.0,130.0,3,19061.58357771261,227.33333333333334
other,600.0,7.0,106.0,7,17666.666666666668,85.71428571428571
other,1200.0,9.0,120.0,9,10000.0,133.33333333333334
Kothannur,930.0,6.0,135.0,6,14516.129032258064,155.0
6th Phase JP Nagar,600.0,2.0,100.0,3,16666.666666666668,200.0
KR Puram,1200.0,12.0,110.0,8,9166.666666666666,150.0
other,990.0,12.0,120.0,8,12121.212121212122,123.75
Jalahalli East,800.0,2.0,80.0,3,10000.0,266.6666666666667
Chamrajpet,1080.0,4.0,250.0,4,23148.14814814815,270.0
Yeshwanthpur,585.0,1.0,70.0,2,11965.811965811965,292.5
Electronic City,550.0,1.0,15.0,2,2727.2727272727275,275.0
other,500.0,2.0,70.0,2,14000.0,250.0
other,432.0,2.0,40.0,2,9259.25925925926,216.0
Chikkabanavar,1200.0,4.0,70.0,5,5833.333333333333,240.0
Electronic City Phase II,545.0,1.0,27.0,2,4954.128440366972,272.5
other,800.0,4.0,80.0,4,10000.0,200.0
Gottigere,1200.0,8.0,90.0,8,7500.0,150.0
other,720.0,3.0,65.0,3,9027.777777777777,240.0
other,1200.0,8.0,190.0,8,15833.333333333334,150.0
Nagarbhavi,1200.0,5.0,240.0,6,20000.0,200.0
Kothanur,1140.0,4.0,90.0,4,7894.736842105263,285.0
other,1500.0,10.0,165.0,8,11000.0,187.5
other,1200.0,6.0,137.0,5,11416.666666666666,240.0
Kaval Byrasandra,750.0,4.0,110.0,4,14666.666666666666,187.5
other,600.0,4.0,40.0,4,6666.666666666667,150.0
other,1200.0,4.0,100.0,5,8333.333333333334,240.0
Nagarbhavi,600.0,2.0,100.0,4,16666.666666666668,150.0
other,800.0,4.0,120.0,4,15000.0,200.0
Nagarbhavi,600.0,2.0,80.0,3,13333.333333333334,200.0
other,600.0,2.0,110.0,3,18333.333333333332,200.0
other,1440.0,5.0,110.0,5,7638.888888888889,288.0
Rayasandra,700.0,6.0,85.0,7,12142.857142857143,100.0
Vijayanagar,1230.0,4.0,210.0,6,17073.170731707316,205.0
Vishveshwarya Layout,600.0,4.0,95.0,4,15833.333333333334,150.0
Bhoganhalli,296.0,1.0,22.89,1,7733.108108108108,296.0
other,1200.0,4.0,85.0,5,7083.333333333333,240.0
Kengeri Satellite Town,600.0,4.0,72.0,3,12000.0,200.0
Hosakerehalli,800.0,4.0,120.0,4,15000.0,200.0
Ramamurthy Nagar,1500.0,9.0,250.0,7,16666.666666666668,214.28571428571428
Vidyaranyapura,900.0,4.0,175.0,4,19444.444444444445,225.0
Battarahalli,800.0,2.0,75.0,3,9375.0,266.6666666666667
Nagarbhavi,600.0,3.0,100.0,3,16666.666666666668,200.0
other,450.0,3.0,53.0,4,11777.777777777777,112.5
Sanjay nagar,750.0,2.0,110.0,4,14666.666666666666,187.5
other,600.0,2.0,30.0,3,5000.0,200.0
other,600.0,7.0,108.0,7,18000.0,85.71428571428571
KR Puram,600.0,5.0,75.0,4,12500.0,150.0
Begur Road,680.0,4.0,68.0,3,10000.0,226.66666666666666
Rachenahalli,600.0,5.0,50.0,5,8333.333333333334,120.0
Hulimavu,800.0,4.0,110.0,4,13750.0,200.0
Kalyan nagar,800.0,6.0,98.0,6,12250.0,133.33333333333334
Electronic City,880.0,2.0,18.0,3,2045.4545454545455,293.3333333333333
Sarjapur  Road,1152.0,4.0,230.0,4,19965.277777777777,288.0
Babusapalaya,810.0,5.0,95.0,6,11728.395061728395,135.0
Vidyaranyapura,1200.0,9.0,100.0,9,8333.333333333334,133.33333333333334
Bommanahalli,680.0,4.0,68.0,3,10000.0,226.66666666666666
HBR Layout,1200.0,6.0,280.0,9,23333.333333333332,133.33333333333334
Singasandra,525.0,5.0,56.0,4,10666.666666666666,131.25
Vidyaranyapura,1060.0,6.0,110.0,6,10377.358490566037,176.66666666666666
Kengeri,1125.0,2.0,88.0,4,7822.222222222223,281.25
Nagarbhavi,600.0,3.0,83.0,3,13833.333333333334,200.0
Kumaraswami Layout,600.0,3.0,98.0,3,16333.333333333334,200.0
other,1600.0,7.0,104.0,7,6500.0,228.57142857142858
other,1500.0,6.0,80.0,9,5333.333333333333,166.66666666666666
other,780.0,7.0,150.0,7,19230.76923076923,111.42857142857143
other,600.0,3.0,86.0,5,14333.333333333334,120.0
other,800.0,5.0,98.0,5,12250.0,160.0
Akshaya Nagar,1080.0,4.0,75.0,4,6944.444444444444,270.0
other,1100.0,4.0,150.0,5,13636.363636363636,220.0
